source;target;pre_link;post_link
7410;7434;1;0
7446;7434;1;1
36857;7434;0;1
7450;7434;1;1
36860;7434;1;0
7455;7434;1;1
36862;7434;1;1
80891;7434;1;0
36885;7434;1;1
116035;7434;0;1
7454;7434;1;1
36851;7434;1;0
36853;7434;1;0
9924;7434;1;0
36840;7434;1;0
9942;7434;0;1
36867;7434;0;1
9957;7434;1;0
36859;7434;1;0
36884;7435;1;1
36866;7435;1;1
56660;7435;1;1
7443;7435;1;1
36864;7435;1;1
55808;7435;1;0
116573;7435;0;1
7448;7435;1;1
54732;7435;1;0
36856;7435;1;0
7459;7435;1;0
36877;7436;1;1
7452;7436;1;1
74204;7436;1;1
36863;7436;1;1
7432;7436;1;1
7439;7436;1;1
85764;7436;1;1
36868;7436;1;1
94287;7436;0;1
54753;7436;1;1
7451;7436;1;1
71555;7436;0;1
7453;7436;1;0
36854;7437;1;1
85068;7437;1;1
36875;7437;1;1
36837;7437;0;1
7431;7437;1;0
7445;7437;1;1
36889;7437;1;1
71555;7437;0;1
7447;7437;1;1
7440;7437;0;1
36839;7437;0;1
36830;7437;1;0
36936;7437;1;0
7444;7437;1;1
69531;7437;1;0
7441;7437;0;1
7452;7437;0;1
7442;7437;1;1
94305;7437;0;1
36877;7437;0;1
36853;7437;1;0
7459;7437;1;0
82797;7437;0;1
36868;7437;0;1
40071;7437;1;0
36872;7439;1;1
7447;7439;1;0
36889;7439;1;0
36875;7439;1;0
7452;7439;1;1
36876;7439;1;0
36868;7439;1;0
7445;7439;1;1
7475;7439;1;0
36863;7439;1;1
54392;7439;1;0
7451;7439;1;1
7432;7439;1;1
7463;7439;1;0
71555;7439;1;1
12947;7439;1;0
36877;7439;1;1
7436;7439;1;1
7431;7439;1;0
85764;7439;1;1
94287;7439;0;1
74204;7439;1;0
7444;7440;1;1
7441;7440;0;1
7442;7440;1;1
73834;7440;0;1
36875;7440;1;1
73243;7440;1;1
36888;7440;0;1
85068;7440;1;1
43553;7440;0;1
54368;7440;1;0
36856;7440;1;1
36853;7440;1;1
7447;7440;1;1
61474;7440;1;1
12937;7440;1;1
36855;7440;0;1
75366;7440;0;1
36860;7440;0;1
36854;7440;1;0
36838;7440;0;1
36859;7440;0;1
7431;7440;1;1
9933;7440;0;1
7410;7440;0;1
111607;7440;0;1
66473;7440;0;1
36886;7440;1;1
9955;7440;0;1
73983;7440;0;1
36885;7440;1;0
82797;7440;1;0
60719;7440;1;0
60017;7440;0;1
8295;7440;1;0
7452;7440;1;0
7437;7440;0;1
7445;7440;0;1
2682;7440;1;0
40071;7441;1;0
75366;7441;1;1
36887;7441;1;0
7444;7441;1;1
7440;7441;0;1
8909;7441;1;0
7442;7441;1;1
36853;7441;1;1
36875;7441;1;0
61474;7441;1;0
54370;7441;1;0
66473;7441;1;0
8295;7441;1;0
36888;7441;1;0
7437;7441;0;1
40069;7441;1;0
54372;7441;1;0
36854;7442;1;1
36853;7442;1;1
36889;7442;1;1
7440;7442;1;1
36859;7442;0;1
85068;7442;1;1
7437;7442;1;1
7444;7442;1;1
54372;7442;1;0
72190;7442;0;1
7431;7442;1;1
7441;7442;1;1
82797;7442;0;1
66473;7442;1;0
54370;7442;1;0
40066;7442;1;0
36885;7442;1;0
8916;7442;1;0
61474;7442;1;0
9933;7442;1;1
8914;7442;1;0
8909;7442;1;0
73983;7442;0;1
54379;7442;0;1
94305;7442;0;1
69531;7442;1;0
40074;7442;1;0
7452;7442;1;0
40071;7442;1;0
43553;7442;0;1
9955;7442;0;1
71132;7442;1;0
8295;7442;1;0
12931;7442;1;0
60017;7442;1;1
40069;7442;1;0
7454;7443;1;1
36884;7443;1;1
55808;7443;1;1
36860;7443;1;1
36864;7443;1;1
7459;7443;1;1
36866;7443;1;1
7448;7443;1;1
7430;7443;1;0
7435;7443;1;1
36840;7443;1;1
56660;7443;1;1
36856;7443;1;0
7410;7443;1;0
36887;7443;1;1
36854;7444;1;1
7442;7444;1;1
12925;7444;1;1
7441;7444;1;1
43553;7444;0;1
71132;7444;1;0
40066;7444;1;1
7437;7444;1;1
40074;7444;1;0
36855;7444;1;0
9933;7444;1;1
8916;7444;1;0
61474;7444;1;0
40071;7444;1;0
36859;7444;0;1
7452;7444;1;0
12937;7444;1;1
36875;7444;1;0
85068;7444;1;1
36853;7444;1;1
7431;7444;1;1
8914;7444;1;0
7440;7444;1;1
36886;7444;1;0
8909;7444;1;0
54368;7444;1;0
40069;7444;1;0
54372;7444;1;0
82797;7444;0;1
69531;7444;1;0
36887;7444;1;0
73983;7444;0;1
7446;7444;0;1
60017;7444;1;1
8295;7444;1;0
9955;7444;0;1
54370;7444;1;0
66473;7444;1;0
36889;7445;1;1
36855;7445;0;1
36876;7445;1;1
36936;7445;1;1
7439;7445;1;1
40064;7445;1;0
80891;7445;1;1
36886;7445;0;1
36888;7445;1;0
40072;7445;1;0
7431;7445;1;1
40065;7445;1;0
8909;7445;1;0
36856;7445;0;1
73243;7445;0;1
54392;7445;1;1
61474;7445;0;1
94305;7445;0;1
7437;7445;1;1
75366;7445;0;1
7440;7445;0;1
7463;7445;1;0
57200;7445;0;1
36853;7445;0;1
