id;coord;core;gender
12948;0;0;0
8295;0;1;0
12924;0;0;1
12925;0;1;0
7440;1;1;0
2688;0;0;0
54391;0;1;0
12936;0;1;0
74204;0;1;0
12932;0;0;0
12937;0;1;0
69531;0;1;0
54376;0;1;0
60719;0;1;0
12939;0;1;0
54392;0;1;1
12938;0;0;0
54389;0;0;0
54365;0;0;1
69278;0;0;0
62161;0;0;0
2705;0;0;1
12933;0;0;1
12930;0;0;0
54393;0;0;0
22692;0;0;0
63112;0;0;0
2703;0;0;0
2698;0;1;0
2687;0;0;0
12923;0;0;0
12943;0;0;0
83349;0;0;0
80349;0;0;1
73991;0;0;0
2697;0;0;0
58364;0;0;0
22695;0;0;0
108863;0;0;0
2695;0;0;0
2693;0;0;0
116508;0;0;0
22693;0;0;0
70492;0;0;0
82263;0;0;1
78976;0;0;0
57200;0;1;0
12934;0;0;0
60797;0;0;0
2684;0;0;0
54381;0;1;1
85782;0;0;0
92805;0;0;0
2682;0;0;0
12935;0;0;1
7462;0;0;1
54384;0;0;0
2686;0;0;0
8924;0;0;1
54388;0;0;1
12951;0;0;0
7467;0;0;0
12931;0;0;1
85423;0;0;0
12922;0;0;0
2691;0;0;0
79804;0;0;0
40078;0;0;1
8910;0;0;0
7410;0;1;0
36837;0;1;0
80484;0;0;0
36833;0;1;0
36839;0;0;0
36838;0;1;0
36860;0;1;1
36842;0;0;0
36841;0;1;0
36853;0;1;0
36830;0;1;0
73243;0;0;0
36836;0;1;0
36859;0;0;0
7443;0;1;0
36888;0;0;1
36876;0;1;0
36885;0;0;0
66473;0;1;0
7409;0;1;0
36840;0;1;0
7447;0;1;1
36875;0;1;0
36887;0;1;0
9933;0;0;0
7434;0;0;0
111607;0;1;0
7412;0;1;0
36834;0;0;0
7411;0;0;0
7432;0;0;1
63089;0;0;0
80891;0;1;1
115654;0;0;0
7471;0;0;1
81353;0;0;1
43119;0;0;1
54732;0;0;1
36866;0;0;1
36864;0;0;0
55808;0;1;1
9942;0;0;0
7459;0;0;1
56660;0;0;0
36884;0;0;1
7448;0;1;0
60017;0;0;0
54368;0;1;0
7439;0;1;0
36886;0;1;0
36889;0;1;0
73983;0;0;0
36856;0;1;0
94305;0;1;0
7444;0;1;0
7445;0;1;0
36854;0;1;0
75366;0;0;0
7437;0;1;0
61474;0;1;0
40071;0;1;0
43553;0;0;0
9955;0;0;0
36855;0;0;1
7442;0;1;1
85068;0;1;1
36936;0;1;0
54753;0;0;1
36863;0;0;0
36928;0;0;0
7433;0;1;1
7453;0;1;1
7452;0;1;0
94287;0;0;0
85764;0;1;0
7451;0;1;0
7436;0;1;0
85083;0;0;0
9924;0;0;0
36867;0;1;0
7446;0;1;0
36857;0;0;0
9957;0;1;0
116035;0;0;0
36851;0;0;0
36862;0;1;0
7455;0;0;0
7454;0;1;0
36883;0;0;0
7450;0;0;0
116573;0;0;0
36868;0;1;0
71555;0;1;0
36877;0;1;1
82797;0;1;0
7441;0;1;1
7431;0;1;1
36918;0;0;0
36872;0;1;0
36892;0;1;0
7475;0;1;0
7463;0;0;1
12947;0;1;0
78538;0;1;1
8916;0;1;1
73834;0;1;1
8909;0;1;0
54372;0;1;0
54370;0;1;0
40069;0;1;0
54379;0;1;1
71132;0;1;0
72190;0;0;1
40074;0;1;0
40066;0;1;0
8914;0;1;0
7435;0;0;0
7430;0;0;0
40072;0;1;0
40065;0;1;1
40064;0;1;0
36919;0;0;0
36873;0;0;0
7476;0;1;1
77714;0;0;0
7458;0;0;0
36861;0;0;0
36925;0;0;0
36865;0;0;0
54394;0;1;0
36879;0;0;0
104079;0;0;1
7468;0;0;0
43551;0;0;0
114782;0;0;1
9928;0;0;0
43548;0;0;1
36934;0;0;0
68349;0;0;0
43542;0;0;0
36939;0;0;1
9945;0;0;0
9947;0;0;0
36926;0;0;0
43544;0;0;0
9938;0;0;0
92988;0;0;0
36924;0;0;0
106052;0;0;1
9925;0;0;0
110886;0;0;1
9948;0;0;0
2690;0;0;0
85490;0;1;1
40073;0;0;0
7469;0;0;0
36929;0;0;1
81491;0;0;0
43546;0;0;1
7466;0;0;0
7461;0;0;0
36923;0;0;0
7474;0;0;0
116611;0;0;0
7473;0;1;0
63175;0;0;0
2694;0;0;0
36930;0;0;0
36938;0;0;0
43124;0;0;1
36927;0;0;1
61098;0;0;0
7418;0;0;0
43550;0;0;0
73026;0;0;0
12945;0;1;1
65585;0;0;1
7449;0;0;0
9927;0;0;0
40085;0;1;0
54377;0;0;1
59662;0;0;1
43126;0;0;0
71126;0;0;0
40086;0;0;0
43123;0;0;0
40062;0;0;0
71889;0;0;0
111483;0;0;0
12929;0;0;1
8912;0;0;0
82823;0;1;0
40068;0;0;0
40080;0;1;0
8923;0;0;1
8908;0;0;1
8922;0;0;1
20522;0;0;1
79664;0;0;0
8917;0;0;0
40083;0;0;1
58429;0;0;1
40059;0;0;1
40079;0;1;1
40070;0;0;1
9777;0;0;0
68096;0;0;1
8913;0;1;0
70411;0;0;1
40063;0;0;1
12921;0;0;1
43121;0;0;1
77958;0;0;0
9934;0;1;0
91627;0;0;0
9950;0;0;0
95530;0;0;1
85232;0;0;1
72071;0;0;0
43538;0;0;0
43547;0;0;0
9929;0;0;0
56019;0;0;0
36880;0;0;1
43545;0;0;1
9944;0;0;0
9953;0;0;0
9922;0;0;1
71025;0;1;1
